Name,Country,Rank,World_Rank,Title,Standard_Rating,Games,Year_of_birth
"Hou, Yifan",CHN,1,94,g,2650,0,1994
"Goryachkina, Aleksandra",RUS,2,192,g,2610,0,1998
"Ju, Wenjun",CHN,3,354,g,2560,0,1991
"Lagno, Kateryna",RUS,4,391,g,2550,0,1989
"Muzychuk, Mariya",UKR,5,429,g,2540,2,1992
"Lei, Tingjie",CHN,6,466,g,2535,0,1997
"Dzagnidze, Nana",GEO,7,487,g,2531,0,1987
"Muzychuk, Anna",UKR,8,502,g,2529,2,1990
"Tan, Zhongyi",CHN,9,528,g,2525,0,1991
"Harika, Dronavalli",IND,10,576,g,2517,0,1991
"Kosteniuk, Alexandra",FID,11,583,g,2516,0,1984
"Shuvalova, Polina",RUS,12,658,m,2504,0,2001
"Paehtz, Elisabeth",GER,13,695,m,2500,2,1985
"Abdumalik, Zhansaya",KAZ,14,713,g,2496,2,2000
"Kashlinskaya, Alina",FID,15,767,m,2490,0,1993
"Khademalsharieh, Sarasadat",IRI,16,783,m,2488,0,1997
"Khotenashvili, Bela",GEO,17,803,g,2485,0,1988
"Javakhishvili, Lela",GEO,18,835,m,2482,1,1984
"Pogonina, Natalija",RUS,19,932,wg,2472,0,1985
"Gunina, Valentina",RUS,20,938,g,2471,0,1989
"Zhu, Jiner",CHN,21,996,wg,2464,0,2002
"Batsiashvili, Nino",GEO,22,999,g,2463,2,1987
"Sebag, Marie",FRA,23,1032,g,2461,0,1986
"Stefanova, Antoaneta",BUL,24,1064,g,2457,0,1979
"Cramling, Pia",SWE,25,1090,g,2454,4,1963
"Mammadzada, Gunay",AZE,26,1094,m,2454,0,2000
"Badelka, Olga",RUS,27,1105,m,2453,0,2002
"Saduakassova, Dinara",KAZ,28,1186,m,2446,0,1996
"Efroimski, Marsel",ISR,29,1192,m,2445,1,1995
"Munguntuul, Batkhuyag",MGL,30,1221,m,2443,0,1987
"Danielian, Elina",ARM,31,1245,g,2441,0,1978
"Assaubayeva, Bibisara",KAZ,32,1262,m,2439,9,2004
"Osmak, Yuliia",UKR,33,1317,m,2434,10,1998
"Arabidze, Meri",GEO,34,1367,m,2430,1,1994
"Kamalidenova, Meruert",KAZ,35,1416,wm,2427,18,2005
"Ushenina, Anna",UKR,36,1485,g,2423,0,1985
"Galliamova, Alisa",RUS,37,1511,m,2421,0,1972
"Krush, Irina",USA,38,1512,g,2421,0,1983
"Yip, Carissa",USA,39,1558,m,2418,0,2003
"Atalik, Ekaterina",TUR,40,1641,m,2412,10,1982
"Garifullina, Leya",RUS,41,1650,wg,2412,0,2004
"Zawadzka, Jolanta",POL,42,1657,wg,2412,0,1987
Vaishali R,IND,43,1659,m,2411,17,2001
"Girya, Olga",RUS,44,1713,g,2408,0,1991
"Matnadze, Ana",ESP,45,1724,m,2407,6,1983
"Injac, Teodora",SRB,46,1744,wg,2406,9,2000
"Guo, Qi",CHN,47,1752,m,2406,0,1995
"Maltsevskaya, Aleksandra",FID,48,1753,m,2406,0,2002
"Cyfka, Karina",POL,49,1795,m,2403,2,1987
"Salimova, Nurgyul",BUL,50,1798,m,2403,2,2003
"Buksa, Nataliya",UKR,51,1844,m,2401,0,1996
"Shen, Yang",CHN,52,1852,m,2401,0,1989
"Milliet, Sophie",FRA,53,1892,m,2398,3,1983
"Socko, Monika",POL,54,1940,g,2395,4,1978
"Hunt, Harriet V",ENG,55,1945,m,2395,0,1978
"Sargsyan, Anna M.",ARM,56,1947,m,2395,0,2001
"Skripchenko, Almira",FRA,57,1949,m,2395,0,1976
"Zatonskih, Anna",USA,58,1974,m,2393,5,1978
"Bodnaruk, Anastasia",RUS,59,1999,m,2392,0,1992
"Cori T., Deysi",PER,60,2017,wg,2391,0,1993
"Kiolbasa, Oliwia",POL,61,2076,wm,2388,0,2000
"Mammadova, Gulnar",AZE,62,2099,m,2387,0,1991
"Sukandar, Irine Kharisma",INA,63,2128,m,2386,0,1992
"Nomin-Erdene, Davaademberel",MGL,64,2147,m,2385,0,2000
"Vega Gutierrez, Sabrina",ESP,65,2148,m,2385,0,1987
"Ambartsumova, Karina",RUS,66,2206,m,2382,0,1989
"Hoang, Thanh Trang",HUN,67,2239,g,2380,3,1980
"Bulmaga, Irina",ROU,68,2253,m,2379,10,1993
"Rajlich, Iweta",POL,69,2271,m,2379,0,1981
"Mkrtchian, Lilit",ARM,70,2294,m,2378,0,1982
"Balajayeva, Khanim",AZE,71,2326,wg,2376,0,2001
"Aulia, Medina Warda",INA,72,2375,m,2374,0,1997
"Ning, Kaiyu",CHN,73,2382,wm,2374,0,2004
"Zhai, Mo",CHN,74,2386,wg,2374,0,1996
"Bivol, Alina",RUS,75,2398,m,2373,0,1996
"Ordaz Valdes, Lisandra Teresa",CUB,76,2403,m,2373,0,1988
"Guseva, Marina",RUS,77,2420,m,2372,0,1986
"Wang, Annie",USA,78,2426,m,2372,0,2002
"Antolak, Julia",POL,79,2433,wg,2371,2,2000
"Guichard, Pauline",FRA,80,2441,m,2371,0,1988
"Ni, Shiqun",CHN,81,2446,wg,2371,0,1997
Kulkarni Bhakti,IND,82,2450,m,2370,27,1992
"Pham, Le Thao Nguyen",VIE,83,2482,m,2369,0,1987
"Daulyte-Cornette, Deimante",FRA,84,2491,m,2368,3,1989
"Melia, Salome",GEO,85,2504,m,2368,0,1987
"Yildiz Kadioglu, Betul Cemre",TUR,86,2509,wg,2368,0,1989
"Peptan, Corina-Isabela",ROU,87,2532,m,2366,9,1978
"Gara, Ticia",HUN,88,2562,wg,2365,2,1984
"Klek, Hanna Marie",GER,89,2575,wg,2364,16,1995
Vantika Agrawal,IND,90,2578,wg,2364,8,2002
"Marjanovic, Annamaria",HUN,91,2580,wg,2364,1,2001
"Kovalevskaya, Ekaterina",RUS,92,2581,m,2364,0,1974
"Soumya, Swaminathan",IND,93,2607,m,2362,9,1989
"Gara, Anita",HUN,94,2667,m,2360,0,1983
"Tsolakidou, Stavroula",GRE,95,2688,m,2359,0,2000
"Houska, Jovanka",ENG,96,2698,m,2358,3,1980
"Shvayger, Yuliya",ISR,97,2702,m,2358,2,1994
"Roebers, Eline",NED,98,2728,,2356,13,2006
"Gomes, Mary Ann",IND,99,2730,wg,2356,9,1989
"Alinasab, Mobina",IRI,100,2750,wm,2355,9,2000
"Batchimeg, Tuvshintugs",MGL,101,2761,m,2355,0,1986
"Narva, Mai",EST,102,2765,wg,2355,0,1999
